,user_id,gender,age,device,ad_1,click_1,watch_1,ad_2,click_2,watch_2,ad_3,click_3,watch_3,ad_4,click_4,watch_4,ad_5,click_5,watch_5,ad_6,click_6,watch_6
51,51,f,22,ios,a119,,12,a39,,6,a91,,13,a32,,5.0,a14,,13.0,a72,,10.0
52,52,male,22,android,a56,,8,a35,,5,a79,,8,a102,,8.0,a82,1.0,9.0,a81,,14.0
53,53,,24,ios,a64,,5,a80,1.0,10,a112,,10,,,,,,,,,
54,54,f,26,android,a93,1.0,11,a51,,11,a58,,5,a29,1.0,7.0,a114,,6.0,a61,,6.0
55,55,male,23,blackberry,a100,,11,a59,,5,a66,,10,,,,,,,,,
56,56,f,24,ios,a9,,12,a32,1.0,1,a61,,10,a82,,10.0,a1,,12.0,a2,1.0,12.0
57,57,m,26,ios,a45,1.0,13,a68,1.0,14,a88,,8,a75,,10.0,a2,1.0,12.0,a98,1.0,11.0
58,58,m,24,samsung,a44,,9,a36,,11,a110,,10,a3,,,a27,,10.0,a51,,12.0
59,59,f,18,ios,a17,1.0,3,a37,,12,a96,1.0,14,,,,,,,,,
60,60,,28,tizen,a94,,11,a96,,10,a4,1.0,6,,,,,,,,,
61,61,female,26,ios,a45,,9,a61,,7,a25,,9,a8,,14.0,a76,1.0,11.0,a75,,14.0
62,62,female,23,ios,a82,,12,a5,,9,a53,,4,,,,,,,,,
63,63,male,23,ios,a98,,7,a11,,4,a38,,6,,,,,,,,,
64,64,m,26,android,a34,,7,a24,,5,a70,1.0,13,a59,,16.0,a26,,3.0,a38,1.0,9.0
65,65,,29,tizen,a9,,17,a105,,3,a43,,12,a59,,9.0,a21,,6.0,a103,,6.0
66,66,f,23,ios,a61,,10,a2,,10,a41,,3,a96,,11.0,a119,,15.0,a54,1.0,7.0
67,67,male,23,ios,a83,,7,a20,1.0,10,a47,,11,,,,,,,,,
68,68,female,26,samsung,a72,,7,a99,,3,a25,,11,a64,,5.0,a3,1.0,10.0,a47,,18.0
69,69,male,24,windows phone,a69,,7,a2,,7,a62,,6,,,,,,,,,
70,70,f,19,windows phone,a70,,9,a41,,13,a2,,7,a21,,14.0,a101,,11.0,a17,,9.0
71,71,m,23,linux,a50,,3,a53,,2,a103,,15,a64,,7.0,a113,,10.0,a73,,10.0
72,72,,18,android,a40,,13,a15,,9,a48,,13,,,,,,,,,
73,73,f,26,samsung,a117,,8,a66,1.0,7,a64,,14,a45,,10.0,a108,,9.0,a84,1.0,9.0
74,74,m,25,blackberry,a94,,8,a92,,7,a6,,9,,,,,,,,,
75,75,f,21,ios,a5,,9,a89,,9,a88,,14,a100,1.0,10.0,a3,,7.0,a42,,10.0
76,76,,24,ios,a113,1.0,7,a30,1.0,6,a36,,10,a37,,9.0,a101,1.0,8.0,a70,,9.0
77,77,male,26,windows phone,a66,,9,a101,,8,a29,,8,a106,,9.0,a17,,10.0,a81,1.0,3.0
78,78,female,25,ios,a23,1.0,10,a83,,4,a16,,13,a27,,11.0,a51,1.0,9.0,a96,,4.0
79,79,female,30,android,a42,,13,a12,,14,a51,,2,,,,,,,,,
80,80,male,24,ios,a17,,7,a26,,9,a110,,,,,,,,,,,
81,81,m,21,ios,a2,1.0,10,a106,,10,a17,,12,a119,,6.0,a118,,16.0,a4,,15.0
82,82,f,23,ios,a83,,5,a9,,2,a107,,3,,,,,,,,,
83,83,,21,android,a85,,11,a16,,15,a78,,10,a79,,2.0,a30,,8.0,a46,,7.0
84,84,,20,tizen,a101,,10,a73,,4,a72,1.0,4,,,,,,,,,
85,85,female,25,ios,a15,,8,a27,,6,a11,1.0,10,,,,,,,,,
86,86,m,23,ios,a71,1.0,7,a93,,16,a104,,8,a26,1.0,9.0,a23,,8.0,a4,,6.0
87,87,male,16,android,a15,,6,a40,,2,a102,,7,,,,,,,,,
88,88,,27,ios,a40,,8,a101,,8,a3,,7,,,,,,,,,
89,89,female,28,windows phone,a102,,16,a16,,7,a99,,13,,,,,,,,,
90,90,female,26,ios,a93,1.0,9,a3,,12,a88,1.0,6,a90,,9.0,a104,1.0,4.0,a91,,8.0
91,91,male,29,android,a54,,5,a38,,10,a65,,12,,,,,,,,,
92,92,,27,windows phone,a110,,7,a111,,9,a72,,1,,,,,,,,,
93,93,male,27,ios,a42,,12,a8,,5,a20,1.0,10,a61,,9.0,a55,,5.0,a83,,9.0
94,94,,26,tizen,a84,,9,a1,,13,a67,1.0,12,a50,,10.0,a94,,9.0,a62,,10.0
95,95,male,27,ios,a47,1.0,12,a90,,4,a74,,6,,,,,,,,,
96,96,female,25,android,a85,,8,a108,,9,a61,,7,,,,,,,,,
97,97,male,23,android,a37,,9,a115,1.0,6,a19,,2,,,,,,,,,
98,98,f,28,android,a3,,8,a56,,5,a85,1.0,2,,,,,,,,,
99,99,male,27,android,a41,,5,a76,,9,a117,,6,,,,,,,,,
100,100,female,30,ios,a12,,8,a19,,3,a78,,2,,,,,,,,,
101,101,,25,android,a64,,14,a67,,12,a118,,4,a5,,8.0,a30,1.0,10.0,a47,,11.0
102,102,female,20,blackberry,a66,,14,a3,,7,a31,,7,,,,,,,,,
103,103,f,25,android,a1,1.0,7,a0,,12,a102,,14,,,,,,,,,
104,104,f,29,android,a111,,2,a8,,14,a33,,18,,,,,,,,,
105,105,female,27,android,a37,1.0,6,a104,,7,a73,,5,a118,1.0,10.0,a0,,6.0,a23,1.0,6.0
106,106,f,24,tizen,a7,,10,a46,,8,a110,1.0,5,a48,,9.0,a36,1.0,8.0,a0,,18.0
107,107,f,25,android,a16,,16,a71,1.0,6,a28,,7,a117,,13.0,a21,,11.0,a12,,12.0
108,108,male,23,ios,a3,,9,a68,1.0,6,a56,,9,,,,,,,,,
109,109,m,24,android,a80,1.0,15,a110,,3,a85,1.0,14,,,,,,,,,
110,110,male,23,ios,a100,1.0,12,a90,,8,a14,,8,,,,,,,,,
111,111,f,26,ios,a43,1.0,7,a66,1.0,15,a62,,11,a84,1.0,9.0,a40,,10.0,a65,,8.0
112,112,m,22,ios,a91,,13,a55,1.0,9,a101,1.0,5,,,,,,,,,
113,113,,25,blackberry,a95,,15,a44,,8,a86,,10,,,,,,,,,
114,114,,23,samsung,a115,1.0,11,a82,,11,a68,,6,a0,,10.0,a70,1.0,10.0,a48,,14.0
115,115,m,23,linux,a51,,9,a102,,15,a110,,6,,,,,,,,,
116,116,f,29,linux,a43,,4,a40,,9,a71,,5,,,,,,,,,
117,117,f,28,android,a41,,11,a28,,10,a1,,5,,,,,,,,,
118,118,f,26,android,a38,,9,a0,,11,a91,1.0,16,,,,,,,,,
119,119,f,23,ios,a24,,2,a101,,6,a56,,9,,,,,,,,,
120,120,f,25,blackberry,a48,,4,a108,,12,a86,,12,,,,,,,,,
121,121,female,19,ios,a103,,12,a5,,5,a37,1.0,14,a31,1.0,6.0,a59,,11.0,a63,,4.0
122,122,male,23,android,a22,,5,a17,,12,a103,,9,,,,,,,,,
123,123,f,22,android,a31,,14,a23,,6,a29,1.0,11,a55,,13.0,a106,,7.0,a102,,8.0
124,124,f,21,android,a58,,7,a95,,16,a34,,3,,,,,,,,,
125,125,female,26,tizen,a95,,12,a44,1.0,4,a30,,9,,,,,,,,,
126,126,,21,windows phone,a28,1.0,8,a101,,4,a34,,10,,,,,,,,,
127,127,f,28,ios,a62,,2,a112,,8,a5,,12,,,,,,,,,
128,128,male,25,tizen,a6,,6,a103,,8,a93,,8,,,,,,,,,
129,129,f,24,samsung,a14,,10,a11,,10,a71,,4,a31,1.0,10.0,a9,,6.0,a114,,14.0
130,130,f,24,samsung,a50,,6,a75,,7,a68,,13,,,,,,,,,
131,131,f,21,samsung,a98,,11,a59,,11,a8,,14,,,,,,,,,
132,132,f,22,samsung,a53,,10,a2,,10,a67,,8,,,,,,,,,
133,133,male,26,ios,a70,,11,a55,,6,a22,,11,a12,,6.0,a119,,13.0,a26,1.0,9.0
134,134,m,23,android,a3,,15,a62,,9,a6,,9,,,,,,,,,
135,135,female,26,android,a74,,12,a80,,7,a61,,11,a44,,12.0,a98,,8.0,a0,,13.0
136,136,male,24,ios,a107,1.0,11,a98,,8,a76,,11,a101,,9.0,a63,,7.0,a99,1.0,
137,137,male,23,android,a43,1.0,11,a47,,15,a50,,11,a22,,16.0,a49,,10.0,a7,1.0,5.0
138,138,male,26,android,a19,,9,a8,,15,a53,,4,,,,,,,,,
139,139,,26,tizen,a72,,8,a47,1.0,11,a61,1.0,8,,,,,,,,,
140,140,f,23,linux,a103,,6,a10,,11,a80,,11,,,,,,,,,
141,141,female,23,samsung,a83,,,a34,,7,a55,,1,,,,,,,,,
142,142,,25,blackberry,a14,,12,a48,,9,a49,,6,a85,,9.0,a112,,5.0,a11,1.0,4.0
143,143,,24,ios,a113,,14,a12,,4,a88,,6,,,,,,,,,
144,144,f,26,samsung,a23,1.0,7,a38,,11,a64,,10,a78,1.0,6.0,a4,,8.0,a43,,6.0
145,145,female,22,ios,a42,,6,a33,,11,a116,,11,a28,,10.0,a16,,10.0,a53,,12.0
146,146,f,25,blackberry,a41,,4,a90,,7,a50,,7,,,,,,,,,
147,147,f,27,windows phone,a35,,11,a83,,10,a1,1.0,9,a80,,3.0,a110,,13.0,a11,1.0,10.0
148,148,f,25,ios,a112,1.0,9,a109,,6,a80,,9,a82,,13.0,a96,,4.0,a45,,9.0
149,149,m,24,blackberry,a39,,11,a37,1.0,5,a7,,7,a0,,10.0,a74,,6.0,a41,,7.0
150,150,male,18,blackberry,a107,,12,a3,1.0,7,a8,1.0,16,a19,,12.0,a78,,5.0,a12,1.0,13.0
151,151,,28,blackberry,a41,,,a109,,14,a14,,8,,,,,,,,,
152,152,m,19,ios,a101,,9,a95,,19,a39,,7,,,,,,,,,
153,153,male,23,ios,a48,1.0,11,a72,,10,a12,,13,,,,,,,,,
154,154,m,28,windows phone,a86,,13,a66,,6,a2,,9,,,,,,,,,
155,155,female,25,ios,a95,1.0,10,a14,1.0,6,a117,,10,a64,1.0,9.0,a75,,5.0,a113,,6.0
156,156,,25,tizen,a102,,9,a84,,9,a28,1.0,12,a40,,14.0,a95,,8.0,a115,1.0,12.0
157,157,,22,ios,a111,,2,a47,,10,a78,,3,,,,,,,,,
158,158,male,22,ios,a59,,6,a27,,4,a76,,7,,,,,,,,,
159,159,f,25,ios,a118,,6,a64,,8,a26,,14,,,,,,,,,
160,160,,18,ios,a62,,7,a98,,12,a107,,3,,,,,,,,,
161,161,f,22,blackberry,a32,,13,a68,,6,a6,,10,a118,,7.0,a58,,11.0,a96,1.0,6.0
162,162,female,23,android,a7,,8,a68,,11,a72,,12,a22,,11.0,a117,,10.0,a57,1.0,8.0
163,163,f,23,android,a22,,4,a54,,5,a11,,6,,,,,,,,,
164,164,f,20,windows phone,a105,,9,a6,,10,a39,,11,a12,,8.0,a113,,13.0,a36,1.0,9.0
165,165,male,24,windows phone,a20,,7,a40,,8,a119,,14,a19,,12.0,a89,,5.0,a101,,11.0
166,166,,21,android,a85,,7,a17,,4,a94,,13,,,,,,,,,
167,167,f,23,android,a111,,10,a102,,9,a57,,8,a38,,12.0,a113,,8.0,a58,,12.0
168,168,female,24,windows phone,a37,,9,a27,,12,a102,,12,a82,1.0,7.0,a61,1.0,2.0,a113,,11.0
169,169,f,25,windows phone,a103,,4,a3,,9,a53,,8,a117,,14.0,a98,1.0,8.0,a17,1.0,7.0
170,170,male,24,windows phone,a25,,7,a8,,9,a52,,14,,,,,,,,,
171,171,,26,samsung,a56,,4,a73,,4,a14,,7,,,,,,,,,
172,172,male,26,android,a95,,10,a101,,10,a102,,14,a105,,9.0,a64,1.0,8.0,a68,,11.0
173,173,f,29,android,a78,,6,a23,,6,a16,,9,,,,,,,,,
174,174,m,24,android,a105,,6,a26,,7,a45,,6,,,,,,,,,
175,175,m,22,ios,a88,,8,a33,,13,a102,,8,a61,,8.0,a3,,10.0,a44,,10.0
176,176,female,21,android,a2,,8,a85,1.0,9,a90,,13,a91,,12.0,a14,,11.0,a42,,14.0
177,177,m,28,android,a57,1.0,10,a53,,5,a109,1.0,7,a89,1.0,13.0,a0,,12.0,a83,1.0,9.0
178,178,m,24,android,a73,,7,a48,,5,a21,1.0,8,,,,,,,,,
179,179,female,26,linux,a63,,11,a111,,11,a33,,7,a54,,10.0,a56,,5.0,a5,,11.0
180,180,,23,ios,a72,,11,a93,,15,a81,,13,a3,1.0,8.0,a118,1.0,8.0,a57,,14.0
181,181,f,20,windows phone,a6,,9,a16,,9,a43,,12,a56,,7.0,a115,,13.0,a0,,12.0
182,182,f,25,android,a63,1.0,4,a4,,9,a55,,11,,,,,,,,,
183,183,,22,ios,a83,,9,a4,,7,a2,,12,,,,,,,,,
184,184,,19,ios,a32,,8,a25,,5,a8,1.0,12,a92,,9.0,a72,,6.0,a26,,7.0
185,185,m,27,android,a15,,10,a69,1.0,6,a51,,7,a93,,12.0,a109,,12.0,a58,1.0,10.0
186,186,female,25,android,a21,,10,a14,,7,a56,,8,,,,,,,,,
187,187,,22,windows phone,a38,,9,a84,,5,a10,,13,,,,,,,,,
188,188,female,23,tizen,a40,,11,a98,1.0,5,a24,,9,,,,,,,,,
189,189,,24,ios,a11,1.0,13,a79,,13,a29,,12,a43,,9.0,a106,,10.0,a44,,7.0
190,190,,23,android,a79,,12,a17,1.0,11,a49,,15,a53,1.0,11.0,a115,,5.0,a10,,10.0
191,191,f,21,android,a117,,10,a80,,15,a45,,15,a91,,12.0,a90,,10.0,a74,,11.0
192,192,female,22,ios,a103,,9,a25,,11,a66,,8,,,,,,,,,
193,193,m,25,android,a92,,10,a117,,14,a111,,14,a73,1.0,11.0,a33,1.0,10.0,a19,,11.0
194,194,f,25,ios,a54,1.0,8,a110,,8,a83,,8,,,,,,,,,
195,195,male,22,ios,a111,,12,a30,,6,a75,,10,a92,,16.0,a6,,9.0,a7,,12.0
196,196,f,20,ios,a73,1.0,9,a99,,10,a49,,13,a31,,14.0,a0,,10.0,a34,,9.0
197,197,female,27,ios,a31,,6,a105,,5,a117,,8,,,,,,,,,
198,198,m,26,android,a38,,11,a100,,11,a105,,9,,,,,,,,,
199,199,male,25,android,a101,,5,a30,,11,a51,,9,,,,,,,,,
200,200,,28,ios,a26,,8,a101,,10,a23,,11,a71,,14.0,a112,,8.0,a119,,7.0
201,201,male,26,ios,a40,,5,a69,,7,a59,,13,,,,,,,,,
202,202,male,21,ios,a76,,9,a32,1.0,12,a1,,8,a74,,11.0,a34,,11.0,a4,,12.0
203,203,female,23,ios,a104,,2,a30,,5,a19,,5,,,,,,,,,
204,204,f,22,android,a19,,8,a85,,11,a42,1.0,12,,,,,,,,,
205,205,male,25,android,a107,1.0,9,a24,,11,a84,,8,a46,,2.0,a6,,14.0,a32,1.0,12.0
206,206,male,20,android,a101,,5,a51,,5,a20,,9,,,,,,,,,
207,207,female,25,android,a67,,11,a28,,7,a94,1.0,8,a39,,11.0,a66,,9.0,a55,,13.0
208,208,m,21,samsung,a56,,5,a21,,5,a114,,4,,,,,,,,,
209,209,,25,ios,a57,,7,a96,,15,a30,,3,a61,,12.0,a23,1.0,6.0,a20,,8.0
210,210,f,28,android,a105,,8,a29,1.0,10,a107,,10,a7,,7.0,a9,,,a20,1.0,12.0
211,211,f,23,android,a32,,6,a42,,5,a14,,9,a31,,4.0,a110,,10.0,a105,1.0,8.0
212,212,f,27,android,a119,,10,a104,,6,a46,,8,,,,,,,,,
213,213,m,28,samsung,a117,,16,a114,,13,a36,,10,a45,,2.0,a91,,7.0,a108,,10.0
214,214,female,20,ios,a59,,7,a100,,8,a12,1.0,12,,,,,,,,,
215,215,,27,ios,a25,1.0,14,a11,,13,a84,,8,,,,,,,,,
216,216,f,26,android,a33,,8,a68,,4,a116,,6,,,,,,,,,
217,217,female,27,android,a52,1.0,11,a102,,12,a88,,13,a119,,2.0,a113,,8.0,a49,1.0,10.0
218,218,f,26,samsung,a85,,8,a22,,,a47,,12,,,,,,,,,
219,219,female,24,samsung,a3,,7,a17,,9,a104,,11,a115,,10.0,a69,,6.0,a79,,13.0
220,220,male,27,ios,a62,,9,a27,,8,a114,,9,a37,,7.0,a41,,10.0,a75,,11.0
221,221,m,26,tizen,a113,1.0,4,a56,,7,a81,1.0,5,,,,,,,,,
222,222,female,23,samsung,a8,1.0,17,a83,1.0,11,a63,,10,a14,,5.0,a78,,9.0,a79,,10.0
223,223,female,24,linux,a61,1.0,13,a22,,11,a23,,16,a80,,6.0,a104,,6.0,a62,,7.0
224,224,f,26,android,a29,,6,a115,,11,a39,,7,,,,,,,,,
225,225,f,22,windows phone,a2,,14,a72,,8,a65,,5,,,,,,,,,
226,226,female,20,samsung,a30,,4,a50,,9,a65,,8,,,,,,,,,
227,227,male,25,ios,a81,,11,a28,,12,a52,,7,,,,,,,,,
228,228,male,22,tizen,a39,,11,a17,,6,a90,,12,,,,,,,,,
229,229,f,21,android,a103,,6,a100,,15,a30,,14,,,,,,,,,
230,230,male,25,samsung,a17,,7,a76,,8,a27,,10,a33,,14.0,a55,,10.0,a50,,12.0
231,231,f,23,windows phone,a63,1.0,12,a42,,13,a110,1.0,4,a15,,10.0,a55,1.0,10.0,a8,1.0,8.0
232,232,m,28,linux,a115,1.0,7,a42,,16,a74,,8,a16,,12.0,a29,,4.0,a57,,11.0
233,233,male,27,ios,a67,,9,a9,,10,a84,,6,,,,,,,,,
234,234,,23,tizen,a64,1.0,6,a15,1.0,5,a55,,11,a32,,9.0,a52,1.0,12.0,a106,,8.0
235,235,male,22,ios,a16,,5,a57,,6,a26,,14,,,,,,,,,
236,236,f,22,ios,a16,,7,a62,1.0,12,a49,,12,a57,1.0,13.0,a103,,6.0,a105,,8.0
237,237,,22,android,a34,,5,a38,,6,a28,1.0,7,,,,,,,,,
238,238,female,22,linux,a7,,5,a92,,8,a100,,8,,,,,,,,,
239,239,female,26,linux,a59,,8,a28,,16,a10,,14,,,,,,,,,
240,240,f,28,android,a50,1.0,6,a37,1.0,7,a29,,10,a111,,9.0,a69,,5.0,a70,,10.0
241,241,m,20,android,a57,,9,a98,,15,a26,,5,a90,,12.0,a86,,14.0,a64,,9.0
242,242,f,19,ios,a16,,11,a61,,11,a8,,14,,,,,,,,,
243,243,f,23,android,a4,,6,a38,,12,a81,,4,,,,,,,,,
244,244,male,19,ios,a47,,11,a109,,16,a33,,13,,,,,,,,,
245,245,female,29,ios,a99,1.0,14,a117,,3,a109,,15,,,,,,,,,
246,246,male,24,ios,a39,1.0,13,a69,,10,a37,,6,a90,1.0,9.0,a88,,6.0,a33,,15.0
247,247,male,20,samsung,a63,,10,a27,,6,a114,1.0,12,a99,,6.0,a9,1.0,10.0,a36,1.0,14.0
248,248,f,22,blackberry,a40,,9,a58,,11,a81,1.0,17,a95,,8.0,a110,,10.0,a63,,9.0
249,249,f,26,linux,a22,,4,a17,,8,a40,,2,,,,,,,,,
250,250,f,27,samsung,a102,1.0,14,a86,,15,a62,,6,,,,,,,,,
251,251,m,22,blackberry,a64,,9,a78,,9,a104,,8,,,,,,,,,
252,252,,27,linux,a113,,9,a72,,12,a46,,8,a47,1.0,4.0,a107,,4.0,a48,,4.0
253,253,male,24,android,a19,,10,a73,,12,a98,,11,a116,,15.0,a53,,9.0,a51,,8.0
254,254,,24,linux,a56,,9,a91,,9,a14,,8,a28,1.0,6.0,a119,,13.0,a92,,6.0
255,255,f,24,ios,a103,,11,a4,,11,a76,,13,a101,,9.0,a19,1.0,9.0,a82,,8.0
256,256,f,26,samsung,a3,,9,a6,,8,a16,,8,a85,,8.0,a111,,9.0,a99,,10.0
257,257,f,18,android,a38,,9,a72,,12,a20,,5,a92,,10.0,a104,1.0,4.0,a6,,8.0
258,258,f,23,linux,a29,,10,a98,,7,a45,1.0,10,a101,,12.0,a2,,9.0,a38,,8.0
259,259,female,26,ios,a89,1.0,8,a94,1.0,7,a102,,10,,,,,,,,,
260,260,male,16,android,a9,,5,a58,,12,a107,,8,a99,,9.0,a74,,8.0,a24,,5.0
261,261,f,21,blackberry,a5,1.0,11,a6,,14,a15,1.0,9,a32,,8.0,a38,,12.0,a45,,8.0
262,262,m,29,blackberry,a63,,6,a6,,6,a47,,10,a82,,10.0,a23,,10.0,a24,,10.0
263,263,female,21,ios,a74,,8,a108,,4,a27,,5,,,,,,,,,
264,264,female,21,blackberry,a110,,9,a29,,13,a108,1.0,7,a36,1.0,5.0,a103,,11.0,a47,,8.0
265,265,,23,ios,a84,,8,a91,,6,a102,,7,,,,,,,,,
266,266,f,25,samsung,a62,1.0,10,a119,,6,a25,,8,,,,,,,,,
267,267,male,25,tizen,a54,,15,a69,,11,a14,,5,a109,,7.0,a103,,13.0,a10,,12.0
268,268,female,24,ios,a37,,10,a82,1.0,9,a29,1.0,11,a92,,7.0,a93,1.0,13.0,a114,,13.0
269,269,m,22,android,a51,,5,a34,,10,a116,,9,a39,,8.0,a52,,6.0,a66,,9.0
270,270,,22,android,a34,,11,a30,,4,a49,,9,a35,1.0,9.0,a86,,11.0,a59,,10.0
271,271,,22,android,a1,1.0,8,a30,,6,a68,,9,,,,,,,,,
272,272,male,26,android,a21,1.0,8,a16,,10,a119,,7,a73,1.0,11.0,a5,,15.0,a88,,12.0
273,273,,26,linux,a81,,10,a20,,3,a73,,8,a57,,14.0,a28,,7.0,a89,,7.0
274,274,male,24,windows phone,a6,,9,a79,1.0,7,a36,,9,,,,,,,,,
275,275,,24,android,a33,1.0,9,a102,,13,a82,,9,a105,1.0,13.0,a51,1.0,9.0,a76,,9.0
276,276,f,30,linux,a116,,11,a67,,11,a55,,2,,,,,,,,,
277,277,f,29,samsung,a113,,9,a37,,8,a119,,9,a109,1.0,11.0,a65,,14.0,a83,1.0,9.0
278,278,female,29,android,a93,1.0,9,a82,,9,a20,,10,a41,,10.0,a53,1.0,14.0,a40,,20.0
279,279,,17,ios,a22,,8,a76,,8,a116,,,,,,,,,,,
280,280,f,20,ios,a81,1.0,12,a90,,10,a36,,8,a93,,12.0,a6,,10.0,a35,1.0,16.0
281,281,f,25,linux,a84,,6,a92,1.0,11,a104,,9,a38,,9.0,a119,,8.0,a115,,8.0
282,282,male,25,tizen,a107,,10,a98,,9,a99,,8,a16,,11.0,a46,,11.0,a115,,9.0
283,283,m,27,android,a54,,8,a1,,5,a98,,15,,,,,,,,,
284,284,f,25,ios,a80,,10,a68,,3,a12,1.0,10,,,,,,,,,
285,285,,24,android,a53,,5,a30,1.0,15,a1,,10,a79,,6.0,a117,,14.0,a81,1.0,9.0
286,286,f,22,linux,a29,,3,a73,,6,a98,,18,,,,,,,,,
